,ID,Lat,Long,Label,Airport,Conventions,Entertainment,Fitness,Food,Government,Health,Hotels,Nightlife,Outdoor,Residence,School,Shops,Transports,University,Work,Total,Cost
121,0126,44.406166,8.927539999999999,1,0.0,6.0,40.0,8.0,42.0,1.0,6.0,24.0,40.0,33.0,10.0,4.0,31.0,3.0,6.0,29.0,283.0,1210.0
122,0127,44.404083,8.929409,1,0.0,4.0,28.0,7.0,30.0,5.0,6.0,19.0,35.0,26.0,8.0,4.0,24.0,4.0,7.0,23.0,230.0,1210.0
123,0128,44.400387,8.932667,1,0.0,1.0,10.0,6.0,40.0,4.0,3.0,3.0,16.0,19.0,3.0,3.0,23.0,2.0,6.0,24.0,163.0,1210.0
124,0129,44.398052,8.936442,1,0.0,2.0,8.0,4.0,31.0,0.0,13.0,4.0,6.0,11.0,1.0,2.0,23.0,1.0,12.0,17.0,135.0,1325.0
125,0130,44.397503,8.939615,1,0.0,2.0,9.0,4.0,38.0,4.0,17.0,2.0,9.0,13.0,1.0,1.0,21.0,1.0,11.0,24.0,157.0,1675.0
126,0131,44.397152,8.94293,1,0.0,0.0,19.0,5.0,36.0,10.0,19.0,1.0,10.0,13.0,2.0,2.0,19.0,4.0,9.0,24.0,173.0,1675.0
127,0132,44.399876,8.944705,1,0.0,0.0,16.0,6.0,40.0,13.0,16.0,6.0,29.0,11.0,3.0,7.0,17.0,9.0,9.0,29.0,211.0,1675.0
128,0133,44.401978,8.943299,1,0.0,0.0,15.0,10.0,39.0,12.0,17.0,15.0,37.0,14.0,3.0,10.0,28.0,10.0,10.0,31.0,251.0,1475.0
129,0134,44.405602,8.944901,1,0.0,1.0,22.0,13.0,42.0,9.0,13.0,30.0,35.0,24.0,5.0,14.0,34.0,32.0,12.0,31.0,317.0,1475.0
130,0135,44.495521999999994,8.904432,0,0.0,0.0,2.0,3.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,11.0,1.0,0.0,2.0,31.0,860.0
131,0136,44.428783,8.894324000000001,1,0.0,0.0,2.0,2.0,15.0,1.0,5.0,0.0,2.0,2.0,3.0,2.0,25.0,8.0,2.0,4.0,73.0,930.0
132,0137,44.42926,8.89343,1,0.0,0.0,2.0,1.0,15.0,1.0,6.0,0.0,3.0,2.0,3.0,2.0,25.0,8.0,2.0,5.0,75.0,930.0
133,0138,44.432064000000004,8.893199000000001,1,0.0,0.0,4.0,3.0,20.0,0.0,6.0,0.0,3.0,3.0,2.0,2.0,23.0,9.0,1.0,2.0,78.0,930.0
134,0139,44.433597999999996,8.893046,1,0.0,0.0,4.0,3.0,19.0,0.0,6.0,0.0,3.0,5.0,3.0,1.0,22.0,6.0,1.0,3.0,76.0,930.0
135,0140,44.437355,8.892681,0,0.0,0.0,2.0,3.0,10.0,1.0,4.0,0.0,1.0,5.0,1.0,0.0,7.0,5.0,0.0,6.0,45.0,930.0
136,0141,44.441113,8.891954,0,0.0,0.0,1.0,0.0,5.0,1.0,4.0,0.0,0.0,4.0,1.0,0.0,6.0,3.0,0.0,6.0,31.0,930.0
137,0142,44.443690999999994,8.892908,0,0.0,0.0,1.0,1.0,5.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,13.0,3.0,0.0,1.0,31.0,930.0
138,0143,44.446548,8.893775,0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,14.0,4.0,0.0,2.0,33.0,670.0
139,0144,44.448002,8.894126,0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,12.0,4.0,0.0,2.0,30.0,670.0
